id,unit,time,treat,treatq,treatd,fratio
1,Austria,2003,0,0,0,5.6
1,Austria,2004,0,0,0,6
1,Austria,2005,0,0,0,7.1
1,Austria,2006,0,0,0,5.9
1,Austria,2007,0,0,0,5
1,Austria,2008,0,0,0,6.4
1,Austria,2009,0,0,0,7
1,Austria,2010,0,0,0,8.699999999999999
1,Austria,2011,0,0,0,11.1
1,Austria,2012,0,0,0,11.9
1,Austria,2013,0,0,0,12.6
1,Austria,2014,0,0,0,17.1
1,Austria,2015,0,0,0,20
1,Austria,2016,0,0,0,18.1
1,Austria,2017,1,1,0,19.2
1,Austria,2018,1,1,0,26.1
1,Austria,2019,1,1,0,31.3
2,Belgium,2003,0,0,0,6
2,Belgium,2004,0,0,0,6.8
2,Belgium,2005,0,0,0,6.2
2,Belgium,2006,0,0,0,5.8
2,Belgium,2007,0,0,0,6.4
2,Belgium,2008,0,0,0,7.2
2,Belgium,2009,0,0,0,7.6
2,Belgium,2010,0,0,0,10.5
2,Belgium,2011,1,1,0,10.9
2,Belgium,2012,1,1,0,12.9
2,Belgium,2013,1,1,0,16.7
2,Belgium,2014,1,1,0,22.4
2,Belgium,2015,1,1,0,26
2,Belgium,2016,1,1,0,28.6
2,Belgium,2017,1,1,0,30.7
2,Belgium,2018,1,1,0,32
2,Belgium,2019,1,1,0,35.9
3,Bulgaria,2003,0,0,0,11.4
3,Bulgaria,2004,0,0,0,18.3
3,Bulgaria,2005,0,0,0,18.7
3,Bulgaria,2006,0,0,0,17.1
3,Bulgaria,2007,0,0,0,14.5
3,Bulgaria,2008,0,0,0,11.6
3,Bulgaria,2009,0,0,0,17.2
3,Bulgaria,2010,0,0,0,11.2
3,Bulgaria,2011,0,0,0,15.2
3,Bulgaria,2012,0,0,0,11.6
3,Bulgaria,2013,0,0,0,16.7
3,Bulgaria,2014,0,0,0,17.6
3,Bulgaria,2015,0,0,0,19
3,Bulgaria,2016,0,0,0,15.3
3,Bulgaria,2017,0,0,0,17.1
3,Bulgaria,2018,0,0,0,14.5
3,Bulgaria,2019,0,0,0,18.5
4,Croatia,2003,0,0,0,0
4,Croatia,2004,0,0,0,0
4,Croatia,2005,0,0,0,0
4,Croatia,2006,0,0,0,0
4,Croatia,2007,0,0,0,13.7
4,Croatia,2008,0,0,0,11.5
4,Croatia,2009,0,0,0,15
4,Croatia,2010,0,0,0,15.6
4,Croatia,2011,0,0,0,19
4,Croatia,2012,0,0,0,15.1
4,Croatia,2013,0,0,0,15.1
4,Croatia,2014,0,0,0,19
4,Croatia,2015,0,0,0,22.2
4,Croatia,2016,0,0,0,19.9
4,Croatia,2017,0,0,0,21.6
4,Croatia,2018,0,0,0,17.2
4,Croatia,2019,0,0,0,27
5,Cyprus,2003,0,0,0,6.2
5,Cyprus,2004,0,0,0,6.6
5,Cyprus,2005,0,0,0,6.9
5,Cyprus,2006,0,0,0,5.9
5,Cyprus,2007,0,0,0,2.1
5,Cyprus,2008,0,0,0,2.8
5,Cyprus,2009,0,0,0,3.3
5,Cyprus,2010,0,0,0,4
5,Cyprus,2011,0,0,0,4.6
5,Cyprus,2012,0,0,0,7.7
5,Cyprus,2013,0,0,0,7.3
5,Cyprus,2014,0,0,0,9.300000000000001
5,Cyprus,2015,0,0,0,9
5,Cyprus,2016,0,0,0,10.8
5,Cyprus,2017,0,0,0,10.4
5,Cyprus,2018,0,0,0,11.9
5,Cyprus,2019,0,0,0,9.4
6,Czech Republic,2003,0,0,0,0
6,Czech Republic,2004,0,0,0,10.6
6,Czech Republic,2005,0,0,0,11.3
6,Czech Republic,2006,0,0,0,7.6
6,Czech Republic,2007,0,0,0,10.6
6,Czech Republic,2008,0,0,0,13.1
6,Czech Republic,2009,0,0,0,13.3
6,Czech Republic,2010,0,0,0,12.2
6,Czech Republic,2011,0,0,0,15.9
6,Czech Republic,2012,0,0,0,16.4
6,Czech Republic,2013,0,0,0,11.3
6,Czech Republic,2014,0,0,0,3.5
6,Czech Republic,2015,0,0,0,10.4
6,Czech Republic,2016,0,0,0,10.1
6,Czech Republic,2017,0,0,0,14.5
6,Czech Republic,2018,0,0,0,13.8
6,Czech Republic,2019,0,0,0,18.2
7,Denmark,2003,0,0,0,12.5
7,Denmark,2004,0,0,0,11.3
7,Denmark,2005,0,0,0,11
7,Denmark,2006,0,0,0,12.1
7,Denmark,2007,0,0,0,15.3
7,Denmark,2008,0,0,0,16.9
7,Denmark,2009,0,0,0,17.6
7,Denmark,2010,0,0,0,17.7
7,Denmark,2011,0,0,0,16.3
7,Denmark,2012,1,0,1,20.8
7,Denmark,2013,1,0,1,22.9
7,Denmark,2014,1,0,1,24
7,Denmark,2015,1,0,1,25.8
7,Denmark,2016,1,0,1,27.1
7,Denmark,2017,1,0,1,30.3
7,Denmark,2018,1,0,1,27.7
7,Denmark,2019,1,0,1,30
8,Estonia,2003,0,0,0,14.7
8,Estonia,2004,0,0,0,15.5
8,Estonia,2005,0,0,0,12.7
8,Estonia,2006,0,0,0,13.1
8,Estonia,2007,0,0,0,10.1
8,Estonia,2008,0,0,0,8.4
8,Estonia,2009,0,0,0,6.4
8,Estonia,2010,0,0,0,7
8,Estonia,2011,0,0,0,6.7
8,Estonia,2012,0,0,0,7.8
8,Estonia,2013,0,0,0,7.3
8,Estonia,2014,0,0,0,7.1
8,Estonia,2015,0,0,0,8.1
8,Estonia,2016,0,0,0,8.800000000000001
8,Estonia,2017,0,0,0,7.4
8,Estonia,2018,0,0,0,8
8,Estonia,2019,0,0,0,9.4
9,France,2003,0,0,0,5.3
9,France,2004,0,0,0,5.9
9,France,2005,0,0,0,7.3
9,France,2006,0,0,0,7.6
9,France,2007,0,0,0,8.800000000000001
9,France,2008,0,0,0,9.300000000000001
9,France,2009,0,0,0,10.2
9,France,2010,0,0,0,12.3
9,France,2011,1,1,0,21.6
9,France,2012,1,1,0,25.1
9,France,2013,1,1,0,29.7
9,France,2014,1,1,0,32.4
9,France,2015,1,1,0,35.6
9,France,2016,1,1,0,41.2
9,France,2017,1,1,0,43.4
9,France,2018,1,1,0,43.9
9,France,2019,1,1,0,45.2
10,Germany,2003,0,0,0,9.800000000000001
10,Germany,2004,0,0,0,11.7
10,Germany,2005,0,0,0,12.2
10,Germany,2006,0,0,0,11.2
10,Germany,2007,0,0,0,11.3
10,Germany,2008,0,0,0,13.3
10,Germany,2009,0,0,0,12.9
10,Germany,2010,0,0,0,12.6
10,Germany,2011,0,0,0,15.2
10,Germany,2012,0,0,0,17.9
10,Germany,2013,0,0,0,21.5
10,Germany,2014,0,0,0,24.4
10,Germany,2015,1,0,0,26.1
10,Germany,2016,1,0,0,29.5
10,Germany,2017,1,0,0,31.9
10,Germany,2018,1,0,0,33.8
10,Germany,2019,1,0,0,35.6
11,Greece,2003,0,0,0,7.8
11,Greece,2004,0,0,0,7.3
11,Greece,2005,0,0,0,7.1
11,Greece,2006,0,0,0,7.9
11,Greece,2007,0,0,0,11.2
11,Greece,2008,0,0,0,5.7
11,Greece,2009,0,0,0,5.1
11,Greece,2010,0,0,0,6.2
11,Greece,2011,0,0,0,6.5
11,Greece,2012,0,0,0,7.9
11,Greece,2013,0,0,0,8.4
11,Greece,2014,0,0,0,8.9
11,Greece,2015,0,0,0,9.800000000000001
11,Greece,2016,0,0,0,9.1
11,Greece,2017,0,0,0,11.3
11,Greece,2018,0,0,0,9.1
11,Greece,2019,0,0,0,10.3
12,Hungary,2003,0,0,0,11.1
12,Hungary,2004,0,0,0,8.9
12,Hungary,2005,0,0,0,9.6
12,Hungary,2006,0,0,0,11.5
12,Hungary,2007,0,0,0,10.8
12,Hungary,2008,0,0,0,16.3
12,Hungary,2009,0,0,0,13.3
