id,unit,time,treat,treatq,treatd,valueFOC2,valueMOC2,valuefratioOC2,valueFOC9,valueMOC9,valuefratioOC9
1,Austria,172,0,0,0,146.6,166.4,46.837059,97.4,119.4,44.926201
1,Austria,173,0,0,0,141.9,164,46.387707,101.2,131.5,43.489471
1,Austria,174,0,0,0,150.3,171.1,46.764156,90.4,129.6,41.090908
1,Austria,175,0,0,0,154.4,167.1,48.024883,94.8,133,41.615452
1,Austria,176,0,0,0,111.5,175.5,38.850174,90,145.6,38.20034
1,Austria,177,0,0,0,111.6,178,38.535912,96.8,164.5,37.04554
1,Austria,178,0,0,0,112.1,177.1,38.762104,114.3,167.6,40.546291
1,Austria,179,0,0,0,119,186.1,39.003605,105.7,159.6,39.84169
1,Austria,180,0,0,0,121.3,183.3,39.82272,99.1,151.8,39.497807
1,Austria,181,0,0,0,124,183.6,40.312092,101.3,166.3,37.855007
1,Austria,182,0,0,0,125.1,183.1,40.590527,104.9,169.4,38.242802
1,Austria,183,0,0,0,125.2,192.4,39.420654,96.3,154.6,38.381824
1,Austria,184,0,0,0,119.5,190.9,38.498711,100.3,143.4,41.157162
1,Austria,185,0,0,0,119.5,195.3,37.960609,100.3,150.2,40.039921
1,Austria,186,0,0,0,122.2,194,38.646427,97.1,166.2,36.878086
1,Austria,187,0,0,0,129.7,196.5,39.760883,102.6,163.1,38.614979
1,Austria,188,0,0,0,121.4,188.1,39.224556,107.4,165.9,39.297474
1,Austria,189,0,0,0,125.7,193.5,39.3797,101.4,181.2,35.881104
1,Austria,190,0,0,0,125.9,193.6,39.405319,112.8,186.1,37.738373
1,Austria,191,0,0,0,119.9,191.1,38.553055,103.7,177.5,36.877666
1,Austria,192,0,0,0,118.8,189.6,38.5214,106.2,168.1,38.716732
1,Austria,193,0,0,0,126.3,191.2,39.779526,103.7,173.7,37.382839
1,Austria,194,0,0,0,122.1,192.3,38.835876,106,179.5,37.127846
1,Austria,195,0,0,0,129.2,195.3,39.815102,105.9,171,38.244854
1,Austria,196,0,0,0,123.9,198.7,38.406696,100.8,157.1,39.084915
1,Austria,197,0,0,0,130.7,199.3,39.60606,100,157.7,38.804813
1,Austria,198,0,0,0,136.8,207.8,39.6982,99.8,166.5,37.476532
1,Austria,199,0,0,0,136.6,202.9,40.235641,100.9,168.6,37.439705
1,Austria,200,0,0,0,135.3,201.9,40.124554,104.5,162.4,39.15324
1,Austria,201,0,0,0,132.8,208.2,38.944283,99.7,164.3,37.765152
1,Austria,202,0,0,0,136.3,211.4,39.200459,100.7,180.4,35.823551
1,Austria,203,0,0,0,141.8,207.2,40.630371,104.1,171.2,37.813293
1,Austria,204,0,0,0,191.9,239.9,44.441872,71.1,100.8,41.361256
1,Austria,205,0,0,0,183.1,240.7,43.204342,76.4,116,39.708939
1,Austria,206,0,0,0,191,258.6,42.482208,79,121.9,39.323048
1,Austria,207,0,0,0,189.9,258.2,42.378933,76.6,114.5,40.083725
1,Austria,208,0,0,0,193.6,263.3,42.372509,78,106,42.391304
1,Austria,209,0,0,0,191,283.1,40.286858,83.3,114.6,42.091965
1,Austria,210,0,0,0,201.4,291.1,40.893402,81.3,117.8,40.833752
1,Austria,211,0,0,0,194.5,287.3,40.36945,80.3,114.1,41.306583
1,Austria,212,0,0,0,195.5,293.8,39.955036,83.3,104.5,44.355698
1,Austria,213,0,0,0,207.4,298.3,41.012459,75.4,107.6,41.202187
1,Austria,214,0,0,0,201.3,297.4,40.364948,82.5,115.8,41.60363
1,Austria,215,0,0,0,201.6,291.1,40.917393,72.5,98.5,42.397659
1,Austria,216,0,0,0,209.7,279.9,42.830883,69.4,96.7,41.782059
1,Austria,217,0,0,0,205.2,276,42.643391,67.4,106.8,38.691158
1,Austria,218,0,0,0,208.3,279,42.745743,74.8,125.2,37.400002
1,Austria,219,0,0,0,194.5,274.8,41.444706,63.5,106.4,37.374928
1,Austria,220,0,0,0,199.4,287.3,40.969795,61.5,102.5,37.5
1,Austria,221,0,0,0,200.3,287.2,41.087181,70.9,105.4,40.215542
1,Austria,222,0,0,0,212.1,287.7,42.436974,75.7,105.1,41.869469
1,Austria,223,0,0,0,212,298.4,41.536049,75.4,97.4,43.634258
